task,MiniMol (mae),DeepMol (mae),MapLight_GNN (mae),ZairaChem,AttrMasking (mae),MiniMol (roc-auc),DeepMol (roc-auc),MapLight_GNN (roc-auc),AttrMasking (roc-auc),MapLight_GNN,MiniMol (spearman),DeepMol (spearman),MapLight_GNN (spearman),AttrMasking (spearman),MiniMol,DeepMol,AttrMasking,MiniMol (pr-auc),DeepMol (pr-auc),MapLight_GNN (pr-auc),AttrMasking (pr-auc)
caco2_wang,0.4350 ± 0.0110,0.4210 ± 0.0260,0.2950 ± 0.0040,-,0.4220 ± 0.0320,,,,,,,,,,,,,,,,
hia_hou,,,,-,,0.9450 ± 0.0070,0.9420 ± 0.0130,0.9880 ± 0.0020,0.9870 ± 0.0020,,,,,,,,,,,,
pgp_broccatelli,,,,-,,0.9310 ± 0.0050,0.9150 ± 0.0090,0.9340 ± 0.0010,0.9350 ± 0.0050,,,,,,,,,,,,
bioavailability_ma,,,,-,,0.7180 ± 0.0250,0.6500 ± 0.0310,0.7260 ± 0.0050,0.7090 ± 0.0270,,,,,,,,,,,,
lipophilicity_astrazeneca,0.6270 ± 0.0020,0.7040 ± 0.0120,0.4710 ± 0.0030,-,0.5380 ± 0.0090,,,,,,,,,,,,,,,,
solubility_aqsoldb,0.9100 ± 0.0040,1.2750 ± 0.0110,,-,1.0020 ± 0.0240,,,,,-,,,,,,,,,,,
bbb_martins,,,,-,,0.8900 ± 0.0090,0.8670 ± 0.0060,0.8940 ± 0.0020,0.9110 ± 0.0060,,,,,,,,,,,,
ppbr_az,8.7970 ± 0.0690,9.9430 ± 0.0630,7.5280 ± 0.0460,-,9.0620 ± 0.2390,,,,,,,,,,,,,,,,
vdss_lombardo,,,,-,,,,,,,0.4540 ± 0.0310,0.4750 ± 0.0300,0.5440 ± 0.0130,0.5540 ± 0.0130,,,,,,,
cyp2c19_veith,,,,-,,,,,,-,,,,,-,-,-,,,,
cyp2d6_veith,,,,-,,,,,,,,,,,,,,0.6630 ± 0.0040,0.6300 ± 0.0260,0.7820 ± 0.0070,0.7540 ± 0.0010
cyp3a4_veith,,,,-,,,,,,,,,,,,,,0.8580 ± 0.0010,0.8350 ± 0.0070,0.9160 ± 0.0010,0.9110 ± 0.0010
cyp1a2_veith,,,,-,,,,,,-,,,,,-,-,-,,,,
cyp2c9_veith,,,,-,,,,,,,,,,,,,,0.7790 ± 0.0020,0.7330 ± 0.0030,0.8610 ± 0.0040,0.8400 ± 0.0020
cyp2c9_substrate_carbonmangels,,,,-,,,,,,,,,,,,,,0.4240 ± 0.0230,0.3770 ± 0.0160,0.4300 ± 0.0150,0.4430 ± 0.0320
cyp2d6_substrate_carbonmangels,,,,-,,,,,,,,,,,,,,0.7130 ± 0.0060,0.6490 ± 0.0230,0.7170 ± 0.0060,0.7380 ± 0.0160
cyp3a4_substrate_carbonmangels,,,,-,,0.6490 ± 0.0100,0.6340 ± 0.0100,0.6410 ± 0.0090,0.6300 ± 0.0110,,,,,,,,,,,,
half_life_obach,,,,-,,,,,,,0.3830 ± 0.0270,0.3990 ± 0.0510,0.3400 ± 0.0270,0.1860 ± 0.2020,,,,,,,
clearance_hepatocyte_az,,,,-,,,,,,,0.4200 ± 0.0170,0.2730 ± 0.0090,0.5130 ± 0.0190,0.4190 ± 0.0190,,,,,,,
clearance_microsome_az,,,,-,,,,,,,0.5920 ± 0.0090,0.4300 ± 0.0080,0.5830 ± 0.0210,0.6120 ± 0.0140,,,,,,,
herg,,,,-,,0.8280 ± 0.0100,0.7620 ± 0.0230,0.8690 ± 0.0040,0.8290 ± 0.0110,,,,,,,,,,,,
ames,,,,-,,0.8240 ± 0.0050,0.8350 ± 0.0070,0.8700 ± 0.0030,0.8510 ± 0.0050,,,,,,,,,,,,
dili,,,,-,,0.9010 ± 0.0080,0.8440 ± 0.0300,0.9340 ± 0.0050,0.9320 ± 0.0080,,,,,,,,,,,,
