task,rank,model,metric,score,train_time_min,gpu_memory_mib
caco2_wang,1,MapLight_GNN,mae,0.2950 ± 0.0040,4.7,-
caco2_wang,2,DeepMol,mae,0.4210 ± 0.0260,0.2,-
caco2_wang,3,AttrMasking,mae,0.4220 ± 0.0320,2.9,19
hia_hou,1,MapLight_GNN,roc-auc,0.9880 ± 0.0020,4.1,-
hia_hou,2,AttrMasking,roc-auc,0.9870 ± 0.0020,1.7,-
hia_hou,3,MiniMol,roc-auc,0.9450 ± 0.0070,0.2,-
pgp_broccatelli,1,AttrMasking,roc-auc,0.9350 ± 0.0050,3.9,-
pgp_broccatelli,2,MapLight_GNN,roc-auc,0.9340 ± 0.0010,4.0,-
pgp_broccatelli,3,MiniMol,roc-auc,0.9310 ± 0.0050,0.2,-
bioavailability_ma,1,MapLight_GNN,roc-auc,0.7260 ± 0.0050,4.2,-
bioavailability_ma,2,MiniMol,roc-auc,0.7180 ± 0.0250,0.1,-
bioavailability_ma,3,AttrMasking,roc-auc,0.7090 ± 0.0270,1.9,-
lipophilicity_astrazeneca,1,MapLight_GNN,mae,0.4710 ± 0.0030,6.4,-
lipophilicity_astrazeneca,2,AttrMasking,mae,0.5380 ± 0.0090,12.9,0
lipophilicity_astrazeneca,3,MiniMol,mae,0.6270 ± 0.0020,0.8,-
solubility_aqsoldb,1,MiniMol,mae,0.9100 ± 0.0040,1.6,-
solubility_aqsoldb,2,AttrMasking,mae,1.0020 ± 0.0240,27.1,-0
solubility_aqsoldb,3,DeepMol,mae,1.2750 ± 0.0110,1.4,-
bbb_martins,1,AttrMasking,roc-auc,0.9110 ± 0.0060,5.7,-
bbb_martins,2,MapLight_GNN,roc-auc,0.8940 ± 0.0020,5.7,-
bbb_martins,3,MiniMol,roc-auc,0.8900 ± 0.0090,0.3,-
ppbr_az,1,MapLight_GNN,mae,7.5280 ± 0.0460,6.1,-
ppbr_az,2,MiniMol,mae,8.7970 ± 0.0690,0.6,-
ppbr_az,3,AttrMasking,mae,9.0620 ± 0.2390,9.1,-
vdss_lombardo,1,MiniMol,spearman,0.4540 ± 0.0310,0.2,-
vdss_lombardo,2,DeepMol,spearman,0.4750 ± 0.0300,0.3,-
vdss_lombardo,3,MapLight_GNN,spearman,0.5440 ± 0.0130,5.6,-
cyp2d6_veith,1,MapLight_GNN,pr-auc,0.7820 ± 0.0070,13.6,-
cyp2d6_veith,2,AttrMasking,pr-auc,0.7540 ± 0.0010,48.8,-
cyp2d6_veith,3,MiniMol,pr-auc,0.6630 ± 0.0040,1.8,-
cyp3a4_veith,1,MapLight_GNN,pr-auc,0.9160 ± 0.0010,13.5,-
cyp3a4_veith,2,AttrMasking,pr-auc,0.9110 ± 0.0010,39.2,-
cyp3a4_veith,3,MiniMol,pr-auc,0.8580 ± 0.0010,1.6,-
cyp2c9_veith,1,MapLight_GNN,pr-auc,0.8610 ± 0.0040,13.1,-
cyp2c9_veith,2,AttrMasking,pr-auc,0.8400 ± 0.0020,38.6,-
cyp2c9_veith,3,MiniMol,pr-auc,0.7790 ± 0.0020,1.6,-
cyp2c9_substrate_carbonmangels,1,AttrMasking,pr-auc,0.4430 ± 0.0320,2.2,-
cyp2c9_substrate_carbonmangels,2,MapLight_GNN,pr-auc,0.4300 ± 0.0150,4.4,-
cyp2c9_substrate_carbonmangels,3,MiniMol,pr-auc,0.4240 ± 0.0230,0.1,-
cyp2d6_substrate_carbonmangels,1,AttrMasking,pr-auc,0.7380 ± 0.0160,2.1,-
cyp2d6_substrate_carbonmangels,2,MapLight_GNN,pr-auc,0.7170 ± 0.0060,4.5,-
cyp2d6_substrate_carbonmangels,3,MiniMol,pr-auc,0.7130 ± 0.0060,0.2,-
cyp3a4_substrate_carbonmangels,1,MiniMol,roc-auc,0.6490 ± 0.0100,0.2,-
cyp3a4_substrate_carbonmangels,2,MapLight_GNN,roc-auc,0.6410 ± 0.0090,4.7,-
cyp3a4_substrate_carbonmangels,3,DeepMol,roc-auc,0.6340 ± 0.0100,0.2,-
half_life_obach,1,AttrMasking,spearman,0.1860 ± 0.2020,2.1,-
half_life_obach,2,MapLight_GNN,spearman,0.3400 ± 0.0270,4.2,-
half_life_obach,3,MiniMol,spearman,0.3830 ± 0.0270,0.2,-
clearance_hepatocyte_az,1,DeepMol,spearman,0.2730 ± 0.0090,0.3,-
clearance_hepatocyte_az,2,AttrMasking,spearman,0.4190 ± 0.0190,3.7,-
clearance_hepatocyte_az,3,MiniMol,spearman,0.4200 ± 0.0170,0.2,-
clearance_microsome_az,1,DeepMol,spearman,0.4300 ± 0.0080,0.3,-
clearance_microsome_az,2,MapLight_GNN,spearman,0.5830 ± 0.0210,4.5,-
clearance_microsome_az,3,MiniMol,spearman,0.5920 ± 0.0090,0.2,-
herg,1,MapLight_GNN,roc-auc,0.8690 ± 0.0040,4.8,-
herg,2,AttrMasking,roc-auc,0.8290 ± 0.0110,2.2,-
herg,3,MiniMol,roc-auc,0.8280 ± 0.0100,0.2,-
ames,1,MapLight_GNN,roc-auc,0.8700 ± 0.0030,7.3,-
ames,2,AttrMasking,roc-auc,0.8510 ± 0.0050,19.2,0
ames,3,DeepMol,roc-auc,0.8350 ± 0.0070,1.0,-
dili,1,MapLight_GNN,roc-auc,0.9340 ± 0.0050,4.2,-
dili,2,AttrMasking,roc-auc,0.9320 ± 0.0080,1.6,-0
dili,3,MiniMol,roc-auc,0.9010 ± 0.0080,0.1,-
